player_name,team,total_points,total_rebounds,total_assists,total_minutes,total_fga,total_fta,total_3pa,total_turnovers,games_played,points_per_game,rebounds_per_game,assists_per_game,minutes_per_game,turnovers_per_game,production_score,production_rank
Dorian Finney-Smith,Nets,208.0,91.0,31.0,579.0,159.0,24.0,108.0,18.0,24,8.666666666666666,3.7916666666666665,1.2916666666666667,24.125,0.75,15.154166666666665,255.0
Jusuf Nurkic,Suns,215.0,229.0,47.0,590.0,163.0,69.0,59.0,57.0,37,5.8108108108108105,6.1891891891891895,1.2702702702702702,15.945945945945946,1.5405405405405406,15.143243243243242,256.0
Georges Niang,Cavaliers,445.0,189.0,67.0,1051.0,348.0,29.0,225.0,48.0,51,8.72549019607843,3.7058823529411766,1.3137254901960784,20.607843137254903,0.9411764705882353,15.14313725490196,257.0
Cole Anthony,Magic,639.0,205.0,197.0,1256.0,553.0,116.0,217.0,111.0,79,8.08860759493671,2.5949367088607596,2.4936708860759493,15.89873417721519,1.4050632911392404,14.943037974683545,258.0
Terry Rozier,Heat,662.0,226.0,160.0,1584.0,613.0,105.0,296.0,77.0,79,8.379746835443038,2.8607594936708862,2.0253164556962027,20.050632911392405,0.9746835443037974,14.850632911392406,259.0
Taurean Prince,Bucks,612.0,276.0,151.0,2047.0,487.0,42.0,318.0,84.0,79,7.746835443037975,3.4936708860759493,1.9113924050632911,25.911392405063292,1.0632911392405062,14.80632911392405,260.0
Aaron Nesmith,Pacers,718.0,278.0,74.0,1604.0,517.0,98.0,281.0,56.0,79,9.08860759493671,3.518987341772152,0.9367088607594937,20.303797468354432,0.7088607594936709,14.716455696202532,261.0
Herbert Jones,Pelicans,205.0,78.0,65.0,649.0,172.0,40.0,72.0,35.0,27,7.592592592592593,2.888888888888889,2.4074074074074074,24.037037037037038,1.2962962962962963,14.67037037037037,262.0
Cason Wallace,Thunder,668.0,277.0,206.0,2301.0,580.0,44.0,259.0,73.0,90,7.4222222222222225,3.077777777777778,2.2888888888888888,25.566666666666666,0.8111111111111111,14.54888888888889,263.0
Bruce Brown,Raptors,151.0,68.0,28.0,352.0,131.0,29.0,36.0,19.0,19,7.947368421052632,3.5789473684210527,1.4736842105263157,18.526315789473685,1.0,14.452631578947368,264.0
Jerami Grant,Trail Blazers,677.0,163.0,101.0,1525.0,574.0,166.0,296.0,65.0,71,9.535211267605634,2.295774647887324,1.4225352112676057,21.47887323943662,0.9154929577464789,14.42394366197183,265.0
